combined_weather_SLA_wind_U_W6,combined_weather_SLA_wind_V_W6,combined_weather_SLA_pressure_W6,combined_weather_SLA_wind_U_W9,combined_weather_SLA_wind_V_W9,combined_weather_SLA_pressure_W9,combined_weather_SLA_wind_U_W10,combined_weather_SLA_wind_V_W10,combined_weather_SLA_pressure_W10,combined_weather_SLA_wind_U_OSC2_1,combined_weather_SLA_wind_V_OSC2_1,combined_weather_SLA_pressure_OSC2_1,combined_weather_SLA_wind_U_SCS_500,combined_weather_SLA_wind_V_SCS_500,combined_weather_SLA_pressure_SCS_500,combined_weather_SLA_wind_U_Singapore,combined_weather_SLA_wind_V_Singapore,combined_weather_SLA_pressure_Singapore,combined_weather_SLA_SLA
-4.083369711,-8.515203215,101345.0663,-6.000197984,-6.695764146,101732.3005,-6.807074854,-8.479824025,101491.5519,1.05949166,-4.709316174,101163.0409,-3.276018503,-4.326393776,101185.0896,1.741694687,-4.00405868,101170.4334,0.12261515651188398
-4.197132056,-8.957657669,101370.1301,-5.273464454,-7.376686739,101758.1329,-7.035026961,-7.910594449,101536.1081,0.9449459,-4.073964127,101220.7198,-3.282937366,-4.208790275,101232.2546,1.270678751,-3.758474488,101228.5976,0.089281777
-4.859300329,-9.124727653,101390.1993,-5.006795291,-8.215797942,101768.4564,-7.00952183,-7.580645809,101545.71,1.023860059,-3.894033805,101294.3171,-3.444838767,-4.635926191,101251.6048,0.823009329,-3.620383268,101307.1465,0.11969843188094997
-5.18579316,-8.73489769,101388.5548,-5.399591761,-8.528343602,101723.8154,-6.804949427,-7.38294931,101492.5452,1.712009013,-3.824013074,101289.3737,-3.49631511,-4.746943897,101272.5445,0.27475534,-3.477502758,101303.6676,0.1456300451939101
-5.094987341,-8.25259168,101358.8011,-6.118517409,-7.97057823,101651.8335,-6.844269837,-7.254787441,101419.7983,2.174345429,-3.811960325,101223.8371,-3.98672414,-4.89214502,101211.0747,0.20763411,-2.710950148,101220.0037,0.11557780720958011
-5.18477287,-8.049757479,101265.1243,-6.7449497,-7.447844245,101569.3867,-7.167866183,-7.247970321,101325.1044,2.239487865,-4.029196774,101161.0857,-4.185157139,-5.108221853,101151.0649,0.273588014,-2.608246467,101138.0323,0.093572839
-5.107740967,-8.164202973,101191.4253,-7.06927706,-7.138582778,101494.435,-7.386785222,-7.384994446,101250.9386,1.978480923,-4.538855869,101057.2009,-4.340139677,-5.190701108,101065.144,0.474368041,-3.533377818,101061.6647,0.095214626
-4.886848162,-8.308792592,101127.2584,-7.354565016,-6.76473219,101461.2488,-7.579136417,-7.718351646,101254.2496,1.950937477,-5.034453423,100996.6077,-4.802596499,-4.879914256,101017.6278,0.478064573,-2.825893129,100987.347,0.04269106
-4.715439425,-8.500897528,101126.1316,-7.516128089,-6.475723243,101454.6022,-7.616331399,-7.845150091,101268.6286,1.457560035,-5.178512469,100914.2303,-4.939313238,-4.523340439,100956.6015,0.238373687,-2.129051309,100887.3602,0.049799505
-4.773085816,-8.569360458,101127.0148,-7.631444484,-6.338881886,101456.2521,-7.541410078,-7.761981219,101306.9887,0.604150405,-5.321423634,100926.183,-4.808961853,-4.465009103,100952.4801,-0.499959844,-1.749899116,100896.4243,0.1137950172847999
-4.589943743,-8.499364776,101132.3138,-7.267477113,-6.131430388,101485.2899,-7.26935535,-7.427260594,101328.5573,-0.485564504,-5.371643421,100905.9299,-4.205636974,-5.129233678,100909.8615,-1.121171692,-1.769588423,100895.973,0.15656273342471994
-4.610349545,-8.072237844,101174.0055,-7.489100809,-6.020862572,101530.2609,-7.49837017,-7.348863707,101377.7489,-0.687986973,-4.878628599,100953.058,-4.542170485,-5.386079725,100928.2507,-0.171552202,-2.8120574,101002.8988,0.14500096858314993
-4.922558315,-7.618543208,101209.8805,-7.509521421,-6.118293618,101575.8919,-7.690190007,-7.118445028,101431.1029,-0.025414076,-4.537994958,101012.6921,-5.097893584,-5.841126873,101003.2306,1.03799182,-2.249581795,101068.8859,0.15324691304820992
-5.048564142,-6.930848411,101248.4963,-7.802016651,-6.420439335,101606.2497,-7.664684876,-6.865529852,101472.0171,0.97904731,-4.577596847,101104.329,-4.955641755,-5.782168318,101074.2924,1.032933408,-2.644964363,101120.3931,0.17034494724097204
-4.651161149,-7.69620265,101235.3097,-8.328147702,-6.591764714,101632.7892,-7.897419195,-7.034594444,101505.0796,1.541064768,-4.546030124,101153.5599,-4.821692562,-5.529712802,101108.0582,1.02437302,-3.633420782,101159.865,0.15721146739942302
-4.795532198,-7.678831459,101229.3711,-8.518539875,-6.661280124,101616.1018,-7.891042912,-7.38294931,101474.6186,1.760975139,-4.48605335,101142.5664,-5.052782596,-5.297328283,101102.8834,0.701023789,-4.053548019,101142.1318,0.25010899974278394
-5.089885891,-7.013106109,101200.9879,-8.780404188,-6.310966249,101577.4946,-7.658308594,-8.021031804,101460.9963,1.480294308,-4.55406529,101151.494,-5.260902003,-5.155576863,101080.8533,0.489543276,-4.315096515,101142.5079,0.26208875968117995
-5.452088875,-6.494524966,101194.6839,-8.665087793,-5.853916116,101570.188,-7.647681456,-8.482550873,101436.9208,1.024515855,-4.917656547,101096.0286,-5.383781015,-5.5968252,101031.1563,0.406857703,-4.586489663,101100.817,0.2884116281559699
-5.405665676,-6.154764906,101151.9872,-8.372592563,-5.781663879,101542.2344,-7.540347364,-8.583444259,101402.4866,0.901226145,-5.134032086,101042.2417,-5.106749729,-5.81886061,101011.9539,0.6720352,-4.814247051,101053.7478,0.2866607304483302
-5.50820483,-5.289270859,101128.2634,-7.850665755,-5.9491577,101502.7315,-7.474990466,-8.505729083,101365.2618,1.090751285,-5.037610095,100975.2847,-4.861821969,-5.687771907,100968.0416,0.662891148,-4.717130875,100992.4432,0.26561093756104714
-5.962744068,-4.50245809,101146.9927,-7.579191743,-6.191640585,101494.4821,-7.61792547,-8.265084724,101351.4976,1.011399929,-5.144363014,100941.6034,-5.016527752,-5.889109102,100928.6573,0.86658949,-4.883425697,100947.6494,0.23915198397985898
-6.137213675,-4.175981882,101135.1156,-7.516728696,-6.312608345,101487.6469,-7.772018968,-8.035347757,101351.876,0.880240662,-5.321997574,100954.9763,-4.95287421,-5.542884394,100945.032,0.693047063,-5.18807781,100954.6449,0.197916929
-4.640448103,-4.983231347,101196.4502,-7.122130407,-6.187261662,101595.1719,-7.152456834,-8.438239588,101432.7111,1.554399294,-6.329836955,100930.1119,-3.716888472,-5.432807516,101000.9019,0.920481029,-5.527053174,100957.4281,0.19735656640958898
-5.13018735,-5.706690361,101231.9902,-7.633246303,-6.247471859,101636.7489,-7.094007576,-8.706834143,101498.7414,1.008776743,-6.09193865,100988.1228,-3.978698259,-5.064943764,101025.6857,1.514844385,-4.809723832,101003.2749,0.2007069411258325
-5.514836716,-5.940690523,101281.5695,-7.783397859,-6.54797548,101692.0434,-7.212500162,-8.872490175,101531.5674,0.669948637,-5.883024337,101037.9439,-3.767534551,-4.937304764,101057.1045,1.319511878,-4.731764819,101070.9168,0.20698971270662103
-6.316784732,-5.569253585,101337.7573,-7.723337236,-6.836984426,101757.9915,-7.312926615,-8.993834923,101624.7477,0.279312621,-5.709694329,101092.5055,-3.787737632,-4.301618638,101099.8709,1.267176774,-4.80014525,101092.7872,0.17466702762834002
-6.998848661,-6.033166569,101346.6195,-7.713727537,-6.926752357,101777.8843,-7.303362191,-9.169716636,101640.8768,0.467526169,-5.641395419,101140.8879,-4.260157617,-4.38127541,101160.0285,0.987018596,-5.375658368,101133.331,0.1268249202130649
-7.957921352,-5.739899991,101326.8852,-7.963579725,-7.069067368,101745.3581,-7.150862763,-9.244704963,101593.6245,0.576606959,-5.550712832,101141.9209,-4.382206366,-4.977760369,101145.5204,0.53098334,-5.717560521,101140.3265,0.14056631610152004
-8.341550429,-5.179934539,101276.4227,-8.386406506,-6.746121765,101664.9383,-7.025993894,-9.184032589,101517.7086,1.013148719,-5.621881445,101077.7861,-4.331283532,-5.720073669,101074.2184,0.209190544,-5.629756855,101076.3327,0.13530112162775998
-8.299718535,-4.879515118,101208.51,-8.701124167,-6.22338778,101583.4813,-6.982422628,-8.958385895,101436.7316,1.114359953,-5.811855724,101014.3522,-4.531930567,-6.001067635,101020.363,0.468336858,-5.009809761,101018.5258,0.13393766637308002
-7.796715517,-4.398230944,101120.924,-8.712535685,-5.952989258,101472.7037,-7.209843378,-8.667976555,101322.6921,0.834990715,-5.994942719,100934.7048,-4.59253981,-6.057203706,100947.6564,0.376507233,-3.416306263,100934.8055,0.12838065823523503
-7.301364675,-4.035479602,101092.2362,-8.489710776,-5.682043371,101429.2412,-7.319834254,-8.453237254,101296.4881,0.481297892,-6.180325475,100862.3986,-4.898630322,-5.810393158,100861.5322,0.05393622,-2.787578802,100862.3495,0.10146438136639097
-6.757550054,-4.261816002,101060.0766,-8.358178014,-5.395771252,101414.0623,-7.162021258,-8.312804568,101267.5408,0.457470625,-6.095095322,100783.3599,-4.733961375,-5.71944645,100790.2301,0.337401821,-2.802212746,100809.3755,0.069252213
-6.50961956,-5.278541594,101071.3751,-8.350370133,-5.109499132,101429.6183,-7.020148968,-8.368704958,101322.1245,0.429489981,-5.861788541,100773.5839,-4.247150154,-5.953399016,100757.8689,1.50511667,-3.351384765,100784.1014,0.12112127771346004
-5.996413642,-6.19104004,101062.2998,-7.908323953,-4.824869109,101474.0708,-6.459036091,-8.632527527,101370.0391,0.083010918,-5.270916877,100752.6483,-3.070113131,-5.987268824,100715.509,1.221067407,-3.089304126,100780.284,0.161882405
-6.602465959,-6.72597054,101129.512,-7.773187553,-4.503018237,101490.2396,-6.721526395,-8.41233453,101396.7634,0.491134837,-5.410384399,100803.7237,-2.213557856,-6.05061791,100742.8433,1.123595707,-3.970267573,100846.76,0.17125863711896994
-6.763671794,-6.787791543,101121.8072,-7.720934811,-4.569796819,101507.304,-7.15989583,-8.16146449,101412.325,0.630382258,-5.321423634,100900.6545,-1.943445433,-6.102990669,100810.9295,1.295387146,-3.126288094,100920.0435,0.17180278826336992
-7.117202313,-6.776551361,101159.4485,-7.844059087,-4.509039257,101514.9406,-7.463300615,-7.979447368,101416.6765,0.558900458,-5.083812299,100961.4322,-2.395662338,-5.895381288,100908.6602,1.214452561,-3.241763219,100966.4921,0.19941910932546003
-7.491648778,-6.358620942,101154.5149,-8.16958766,-3.954558077,101505.5127,-7.614737329,-7.881962542,101405.9868,1.278309037,-4.6493394,100993.2875,-3.383676016,-5.18505614,100986.5972,1.1844912,-3.753153054,101021.0269,0.19468352998093302
-7.128425504,-5.808873838,101149.8249,-8.342562252,-3.621212531,101480.2932,-8.221546898,-7.798111958,101409.0613,1.573635986,-4.426076576,101019.978,-3.921410071,-5.09536387,100999.0168,1.695974429,-4.042373007,101045.9813,0.1519165458043644
-7.097306656,-5.248908386,101133.0752,-8.453073797,-3.496960579,101458.5619,-8.917093068,-7.541788221,101395.8174,1.868307139,-4.548899826,100992.9739,-4.430638409,-4.228861272,100966.4152,2.07243698,-4.162637422,101024.7503,0.24910220282699103
-7.166686382,-4.44574626,101129.4511,-8.560582311,-3.671022785,101439.7061,-9.19711815,-7.265694834,101359.444,1.827866365,-5.115092052,101002.0306,-4.72510523,-3.54425209,100954.0695,2.111542393,-4.583562874,101005.87,0.27268345093922997
-7.03812983,-3.497483598,101072.6847,-8.546167761,-4.070052183,101371.6839,-9.38681256,-6.97733063,101302.6844,1.4280492,-5.280386894,100993.3244,-4.748352611,-3.079483053,100930.986,1.781578317,-4.859745314,100986.4631,0.29036191027394986
-6.77642542,-2.898688425,101053.2549,-8.740764177,-4.326766569,101341.2319,-9.136543464,-6.875755533,101253.2563,1.389794414,-4.933152939,100929.1158,-4.773260519,-2.600915204,100889.5133,1.210561475,-5.007947259,100937.8143,0.2902674050410601
-6.368309382,-2.437330028,101047.8645,-8.951576962,-4.260535352,101328.6457,-8.740151224,-6.896206895,101252.8779,1.127257281,-5.106482946,100867.4711,-4.751673665,-2.047394725,100850.2029,1.303363872,-4.970431147,100883.0351,0.29577731380524486
-5.993352771,-2.34127756,101059.4371,-9.050076382,-4.044326008,101330.9555,-8.92187528,-6.990964872,101279.1765,0.933141566,-5.039044946,100849.4499,-4.839958361,-1.534643459,100847.6525,1.25297431,-5.026572279,100858.3628,0.26365461831211195
-5.61227442,-3.246623163,101056.5135,-8.534155637,-3.495865848,101415.4765,-8.360231047,-7.184571099,101298.522,1.441820923,-5.62876873,100831.6501,-4.413479628,-1.584507344,100870.2185,0.983516619,-5.363152998,100845.0112,0.2102426500804667
-5.966825229,-3.924099612,101131.9484,-8.299318604,-3.022942117,101465.4442,-8.76299957,-6.99369172,101378.1746,1.341046886,-5.689893385,100821.874,-4.753334192,-1.906584133,100866.5037,1.081571981,-5.090163419,100840.9493,0.176116617
-6.87641385,-4.166274452,101178.3605,-8.320339822,-2.907448012,101522.6244,-9.113695118,-6.885299501,101439.6169,1.5526505035837599,-5.42530685,100880.2169,-4.998261953,-2.157157993,100887.2955,1.130210553,-4.616289695,100912.5967,0.1823459518278873
